"accession" "Gene.Name" "Protein.Name" "Organism.Source" "Taxonomy" "Gene.Name.description" "Pe" "SV"
"BL3" "Q2KJJ5" "BL3" "Transducin beta-like protein 3" "Bos taurus" "9913" "TBL3" "2" "1"
"MIA3" "Q0VC16" "MIA3" "Transport and Golgi organization protein 1 homolog" "Bos taurus" "9913" "MIA3" "2" "2"
"KLC3" "Q2TBQ9" "KLC3" "Kinesin light chain 3" "Bos taurus" "9913" "KLC3" "2" "1"
"RPS9" "A6QLG5" "RPS9" "Small ribosomal subunit protein uS4" "Bos taurus" "9913" "RPS9" "2" "1"
"MRTO4" "A4FV84" "MRTO4" "mRNA turnover protein 4 homolog" "Bos taurus" "9913" "MRTO4" "2" "1"
"BTBD19" "A6QPA3" "BTBD19" "BTB/POZ domain-containing protein 19" "Bos taurus" "9913" "BTBD19" "2" "1"
"FAM124B" "A6QLD5" "FAM124B" "Protein FAM124B" "Bos taurus" "9913" "FAM124B" "2" "1"
"TNS4" "Q32PJ7" "TNS4" "Tensin-4" "Bos taurus" "9913" "TNS4" "2" "3"
"CA141" "Q2KIL1" "CA141" "Uncharacterized protein C1orf141 homolog" "Bos taurus" "9913" NA "2" "1"
"RPL11" "Q3T087" "RPL11" "Large ribosomal subunit protein uL5" "Bos taurus" "9913" "RPL11" "2" "3"
"STK38" "A2VDV2" "STK38" "Serine/threonine-protein kinase 38" "Bos taurus" "9913" "STK38" "2" "1"
"BTBD16" "Q32L18" "BTBD16" "BTB/POZ domain-containing protein 16" "Bos taurus" "9913" "BTBD16" "2" "1"
"VWF" "P80012" "VWF" "von Willebrand factor (Fragment)" "Bos taurus" "9913" "VWF" "1" "2"
"CTSB" "P07688" "CTSB" "Cathepsin B" "Bos taurus" "9913" "CTSB" "1" "5"
"RABeP2" "A4FUG8" "RABeP2" "Rab GTPase-binding effector protein 2" "Bos taurus" "9913" "RABeP2" "2" "1"
"QPCT" "Q28120" "QPCT" "Glutaminyl-peptide cyclotransferase" "Bos taurus" "9913" "QPCT" "1" "1"
"H2AZ1" "P0C0S4" "H2AZ1" "Histone H2A.Z" "Bos taurus" "9913" "H2AZ1" "1" "2"
"DNTTIP1" "A6H7A8" "DNTTIP1" "Deoxynucleotidyltransferase terminal-interacting protein 1" "Bos taurus" "9913" "DNTTIP1" "2" "1"
"AMDHD1" "A5PJV3" "AMDHD1" "Probable imidazolonepropionase" "Bos taurus" "9913" "AMDHD1" "2" "1"
"PSMA3" "Q58DU5" "PSMA3" "Proteasome subunit alpha type-3" "Bos taurus" "9913" "PSMA3" "1" "3"
"OCC1" "P0C914" "OCC1" "Overexpressed in colon carcinoma 1 protein homolog" "Bos taurus" "9913" NA "3" "1"
"TIMM10B" "Q3SZW4" "TIMM10B" "Mitochondrial import inner membrane translocase subunit Tim10 B" "Bos taurus" "9913" "TIMM10B" "3" "1"
"ACO2" "P20004" "ACO2" "Aconitate hydratase, mitochondrial" "Bos taurus" "9913" "ACO2" "1" "4"
"SLC25A6" "P32007" "SLC25A6" "ADP/ATP translocase 3" "Bos taurus" "9913" "SLC25A6" "1" "3"
"GTF2B" "Q2KIN8" "GTF2B" "Transcription initiation factor IIB" "Bos taurus" "9913" "GTF2B" "2" "1"
"RUNDC3A" "Q17QK1" "RUNDC3A" "RUN domain-containing protein 3A" "Bos taurus" "9913" "RUNDC3A" "2" "1"
"SLC25A4" "P02722" "SLC25A4" "ADP/ATP translocase 1" "Bos taurus" "9913" "SLC25A4" "1" "3"
"TGM2" "P51176" "TGM2" "Protein-glutamine gamma-glutamyltransferase 2" "Bos taurus" "9913" "TGM2" "1" "1"
"JAKMIP1" "A6QR54" "JAKMIP1" "Janus kinase and microtubule-interacting protein 1" "Bos taurus" "9913" "JAKMIP1" "2" "1"
"LYPLA1" "Q3MHR0" "LYPLA1" "Acyl-protein thioesterase 1" "Bos taurus" "9913" "LYPLA1" "2" "1"
"A5PK26" "A5PK26" "A5PK26" "Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1" "Bos taurus" "9913" "ACAP1" "2" "1"
"PKP3" "Q08DQ0" "PKP3" "Plakophilin-3" "Bos taurus" "9913" "PKP3" "2" "1"
"eNTPD1" "Reverse_sp|O18956|eNTP1_BOVIN" "eNTPD1" "ectonucleoside triphosphate diphosphohydrolase 1" "Bos taurus" "9913" "eNTPD1" "1" "1"
"MAPK1" "P46196" "MAPK1" "Mitogen-activated protein kinase 1" "Bos taurus" "9913" "MAPK1" "2" "3"
"NMI" "Q3ZCL3" "NMI" "N-myc-interactor" "Bos taurus" "9913" "NMI" "2" "1"
"eTV1" "Q2KIC2" "eTV1" "eTS translocation variant 1" "Bos taurus" "9913" "eTV1" "2" "1"
"K2CA" "P04263" "K2CA" "Keratin, type II cytoskeletal 68 kDa, component IA (Fragment)" "Bos taurus" "9913" NA "2" "1"
"FANCD2OS" "Q32KZ5" "FANCD2OS" "FANCD2 opposite strand protein" "Bos taurus" "9913" "FANCD2OS" "2" "1"
"ST6GAL2" "A5D7T4" "ST6GAL2" "Beta-galactoside alpha-2,6-sialyltransferase 2" "Bos taurus" "9913" "ST6GAL2" "2" "1"
"CALM" "P62157" "CALM" "Calmodulin" "Bos taurus" "9913" "CALM" "1" "2"
"TRPC4" "P79100" "TRPC4" "Short transient receptor potential channel 4" "Bos taurus" "9913" "TRPC4" "2" "2"
"ARPC1A" "Q1JP79" "ARPC1A" "Actin-related protein 2/3 complex subunit 1A" "Bos taurus" "9913" "ARPC1A" "1" "1"
"KRT14" "P05785" "KRT14" "Keratin, type I cytoskeletal 14 (Fragment)" "Bos taurus" "9913" "KRT14" "2" "1"
"H1-1" "G3N131" "H1-1" "Histone H1.1" "Bos taurus" "9913" "H1-1" "1" "1"
"CALD1" "Q27976" "CALD1" "Non-muscle caldesmon (Fragment)" "Bos taurus" "9913" "CALD1" "2" "1"
"LASP1" "Q3B7M5" "LASP1" "LIM and SH3 domain protein 1" "Bos taurus" "9913" "LASP1" "2" "1"
"RPLP2" "P42899" "RPLP2" "Large ribosomal subunit protein P2" "Bos taurus" "9913" "RPLP2" "3" "1"
"IBPS" "P00975" "IBPS" "Serum basic protease inhibitor" "Bos taurus" "9913" NA "1" "1"
"ARPC3" "Q3T035" "ARPC3" "Actin-related protein 2/3 complex subunit 3" "Bos taurus" "9913" "ARPC3" "1" "3"
"FRZB" "Q95117" "FRZB" "Secreted frizzled-related protein 3" "Bos taurus" "9913" "FRZB" "1" "1"
"YBX1" "P67808" "YBX1" "Y-box-binding protein 1" "Bos taurus" "9913" "YBX1" "2" "3"
"MCTS1" "Q2KIe4" "MCTS1" "Malignant T-cell-amplified sequence 1" "Bos taurus" "9913" "MCTS1" "2" "1"
"RGS10" "Q2KHW7" "RGS10" "Regulator of G-protein signaling 10" "Bos taurus" "9913" "RGS10" "2" "1"
"TAGLN" "Q9TS87" "TAGLN" "Transgelin" "Bos taurus" "9913" "TAGLN" "1" "4"
"PIN1" "Q5BIN5" "PIN1" "Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1" "Bos taurus" "9913" "PIN1" "2" "1"
"eIF2S2" "Q5e9D0" "eIF2S2" "eukaryotic translation initiation factor 2 subunit 2" "Bos taurus" "9913" "eIF2S2" "2" "1"
"LTA4H" "Q3SZH7" "LTA4H" "Leukotriene A-4 hydrolase" "Bos taurus" "9913" "LTA4H" "2" "3"
"WARS1" "P17248" "WARS1" "Tryptophan--tRNA ligase, cytoplasmic" "Bos taurus" "9913" "WARS1" "1" "3"
"DNAJB1" "Q3MI00" "DNAJB1" "DnaJ homolog subfamily B member 1" "Bos taurus" "9913" "DNAJB1" "2" "3"
"STIP1" "Q3ZBZ8" "STIP1" "Stress-induced-phosphoprotein 1" "Bos taurus" "9913" "STIP1" "2" "1"
